Symbol,Total Cash,Debt Growth (QoQ),Net Cash,Total Debt,Net Cash Growth,Debt Growth (3Y),Debt Growth (YoY),Debt Growth (5Y),Cash / M.Cap,ROE,ROCE,ROIC (5Y),ROA,ROE (5Y),Rev / Employee,ROIC,ROA (5Y),Prof / Employee,Asset Turnover,F-Score,Inv. Turnover,Z-Score,Stock Price,Volume,RSI,RSI (W),RSI (M),EPS
CAT,6889000000,1.34%,-31520000000,38409000000,,0.54%,1.40%,0.40%,-22.81%,58.60%,25.11%,12.77%,12.70%,42.76%,574039,18.15%,8.96%,95589,0.76,7,2.48,3.61,289.16000,4102017,34.55,31.70,46.04,22.05
NEE,1487000000,-0.52%,-80846000000,82333000000,,14.51%,12.46%,14.10%,-59.39%,14.00%,5.78%,5.02%,3.80%,11.70%,2661613,5.38%,3.16%,746882,0.13,4,4.58,1.09,66.72000,12801287,42.12,39.31,44.97,3.37
BSX,414000000,-1.28%,-10332000000,10746000000,,5.83%,18.06%,1.43%,-7.52%,9.00%,7.86%,4.22%,4.90%,5.30%,315981,6.49%,2.84%,34962,0.44,5,1.99,5.50,92.64000,11582192,40.55,48.33,68.41,1.25
MUFG,761838295780,,90492542481,671345753299,,34.41%,16.75%,37.73%,70.18%,8.00%,,0.60%,0.30%,3.84%,24644,1.19%,,6266,0.01,2,,,11.10000,14227341,33.81,43.00,56.29,0.73
SCHW,80304000000,-18.89%,35177000000,45127000000,118.60%,23.83%,-23.62%,43.45%,26.36%,12.00%,,6.62%,1.20%,11.62%,610779,6.35%,0.96%,170654,0.04,6,,,73.85000,9834339,44.84,47.53,52.37,2.99
BLK,12762000000,0.30%,-1460000000,14222000000,,15.14%,46.59%,23.48%,-1.10%,15.10%,,10.62%,4.90%,14.82%,1030657,9.59%,4.00%,321667,0.16,5,,,858.78000,1077731,39.45,38.91,50.49,42.01
SYK,4493000000,-12.19%,-9104000000,13597000000,,2.90%,4.63%,4.16%,-6.97%,15.00%,9.88%,8.65%,7.20%,14.82%,426321,9.24%,6.58%,56472,0.55,7,1.70,5.11,348.39000,2668956,39.44,37.83,53.55,7.76
UNP,1036000000,-0.71%,-31081000000,32117000000,,1.02%,-5.05%,3.79%,-23.65%,41.10%,16.11%,15.05%,10.00%,44.46%,747557,15.21%,9.86%,207990,0.36,6,7.82,3.74,219.32000,4897740,39.66,39.43,46.07,11.09
DHR,2078000000,-8.67%,-13927000000,16005000000,,-10.30%,-13.03%,-5.93%,-10.86%,7.60%,6.96%,7.17%,4.90%,11.20%,378968,6.23%,6.36%,61889,0.30,7,3.93,4.11,180.76000,5340461,35.99,26.26,34.37,5.29
CMCSA,7322000000,-2.24%,-91771000000,99093000000,,-0.31%,2.06%,-1.59%,-72.25%,19.20%,10.20%,7.81%,6.10%,14.22%,679841,10.76%,4.60%,88967,0.47,8,,1.42,33.68000,31641152,40.08,37.47,40.27,4.14
GILD,9991000000,14.89%,-16720000000,26711000000,,0.02%,6.90%,1.67%,-13.24%,2.60%,3.55%,8.82%,0.90%,16.44%,1633750,2.51%,5.34%,27273,0.52,7,3.58,2.91,101.40000,14149200,34.66,53.42,62.85,0.38
HON,10953000000,0.88%,-20146000000,31099000000,,16.64%,52.13%,14.21%,-16.17%,32.90%,15.27%,14.39%,8.00%,30.44%,377431,13.22%,8.32%,55931,0.54,6,3.78,3.26,193.39000,5746327,39.70,36.38,44.84,8.71
LOW,2133000000,-0.11%,-37545000000,39678000000,,10.53%,-1.16%,10.81%,-30.33%,-49.70%,42.99%,32.02%,15.60%,-102.46%,309904,31.26%,15.28%,25767,1.88,5,3.25,3.60,221.20000,3458823,41.80,35.18,47.14,12.23
TTE,32758000000,-9.77%,-21463000000,54221000000,,-5.83%,7.34%,-2.98%,-16.90%,13.40%,14.96%,6.96%,5.60%,11.48%,1901212,8.21%,4.48%,153158,0.69,5,6.69,2.19,54.72000,2810045,32.80,35.91,42.84,6.69
PDD,54684021738,3.62%,53233869301,1450152437,44.73%,-5.97%,4.34%,9.79%,170.15%,42.20%,-15.20%,13.39%,25.20%,20.80%,3100049,28.36%,11.82%,885019,0.88,6,,3.42,88.35000,22458934,24.14,37.59,45.05,10.41
PFE,20477000000,-4.95%,-43874000000,64351000000,,18.74%,-10.48%,4.29%,-35.83%,8.90%,4.70%,11.30%,3.70%,18.12%,785519,5.28%,7.84%,99148,0.29,8,1.70,1.82,21.59000,71559406,24.13,26.54,28.43,1.41
VRTX,6115900000,-2.68%,4458700000,1657200000,-57.51%,23.15%,128.67%,21.62%,3.65%,-3.30%,1.47%,18.05%,-2.40%,21.20%,1806574,,15.94%,-87803,0.50,3,1.57,13.43,475.49000,2252101,41.82,52.49,60.93,-2.08
SNY,8345024892,-24.61%,-11736417886,20081442778,,-10.09%,-15.59%,3.86%,-9.64%,7.30%,7.34%,8.50%,4.30%,11.16%,556616,6.25%,6.30%,69882,0.34,8,1.44,,49.66000,2657832,30.90,41.51,47.79,2.31
DE,6601000000,-1.25%,-57780000000,64381000000,,10.82%,1.92%,7.47%,-47.93%,27.30%,,10.50%,5.90%,34.92%,633760,10.24%,7.28%,82032,0.45,5,3.43,,444.19000,1956516,43.92,49.54,55.60,22.59
BUD,11395000000,-7.71%,-60774000000,72169000000,,-13.55%,-9.78%,7.14%,-52.86%,7.30%,8.86%,4.58%,2.70%,5.70%,415387,6.69%,1.96%,40692,0.28,8,4.60,1.38,60.71000,4045485,50.89,58.08,51.92,2.86
ADP,2216400000,-54.21%,-2066400000,4282800000,,8.54%,28.28%,12.61%,-1.75%,80.30%,56.83%,39.67%,6.80%,70.32%,310991,42.72%,5.76%,61464,0.34,6,,2.33,292.21000,3248550,45.58,49.38,59.53,9.60
BA,26282000000,-6.57%,-27582000000,53864000000,,-2.49%,2.98%,14.56%,-24.03%,,-15.98%,-13.65%,-8.30%,47.84%,386727,-21.52%,-4.82%,-69041,0.47,1,0.82,1.03,155.52000,9175237,45.06,45.43,42.37,-18.36
C,276532000000,-4.56%,-314028000000,590560000000,,7.63%,-1.93%,5.12%,-277.80%,6.10%,,1.94%,0.50%,6.92%,354319,1.60%,0.58%,55380,0.03,2,,,61.59000,23689619,35.45,38.38,48.99,5.94
FI,1236000000,-1.76%,-23604000000,24840000000,,5.36%,7.45%,2.55%,-20.68%,11.20%,9.03%,5.84%,3.70%,7.38%,538316,9.40%,2.74%,82395,0.24,7,,2.31,204.38000,3419139,41.62,48.39,62.83,5.38
