Symbol,Total Cash,Debt Growth (QoQ),Net Cash,Total Debt,Net Cash Growth,Debt Growth (3Y),Debt Growth (YoY),Debt Growth (5Y),Cash / M.Cap,ROE,ROCE,ROIC (5Y),ROA,ROE (5Y),Rev / Employee,ROIC,ROA (5Y),Prof / Employee,Asset Turnover,F-Score,Inv. Turnover,Z-Score,Stock Price,Volume,RSI,RSI (W),RSI (M),EPS
BHP,10093000000,-2.17%,-12398000000,22491000000,,-5.60%,27.97%,-4.86%,-22.48%,26.20%,22.69%,21.49%,11.30%,30.06%,1266618,19.19%,13.90%,269052,0.53,6,,2.50,43.49000,5234267,36.70,31.81,37.13,4.48
SPOT,8331441010,12.04%,6093093338,2238347672,116.32%,3.96%,17.98%,26.33%,5.50%,25.70%,21.09%,-4.06%,10.90%,-8.54%,2122746,15.39%,-2.52%,154130,1.50,6,,10.88,553.02000,1988433,48.47,56.62,76.28,5.73
CB,2549000000,-5.95%,-15780000000,18329000000,,0.83%,3.93%,2.02%,-13.85%,14.80%,,10.03%,3.80%,12.44%,1296581,12.39%,3.38%,215628,0.23,5,,,282.34000,1821677,44.69,52.16,59.79,22.70
MMC,13674000000,47.93%,-8188000000,21862000000,,18.43%,41.63%,8.98%,-7.21%,30.70%,16.57%,12.71%,8.00%,29.54%,271756,12.37%,8.14%,45111,0.48,6,,3.06,228.77000,1792598,45.90,54.14,60.29,8.18
AMAT,8213000000,0.02%,1953000000,6260000000,1.19%,4.70%,12.55%,3.33%,1.75%,34.00%,32.11%,30.77%,19.00%,45.58%,774090,25.83%,22.26%,177675,0.83,6,2.59,8.78,138.24000,16035693,43.15,34.94,42.86,7.65
PANW,3987800000,-12.54%,3091000000,896800000,89.40%,-39.03%,-58.95%,-13.15%,2.77%,22.90%,9.47%,3.82%,6.30%,-12.92%,614461,12.86%,1.30%,89941,0.43,5,,5.26,168.27000,6337197,45.40,44.03,56.85,1.78
SHOP,6703000000,-1.31%,5577000000,1126000000,19.32%,-1.37%,-2.09%,49.32%,5.22%,20.30%,18.62%,-1.42%,16.60%,3.40%,1096296,7.68%,3.12%,249259,0.73,5,,28.88,84.63000,16070199,41.40,42.74,51.45,1.55
LMT,2483000000,4.91%,-17787000000,20270000000,,20.21%,16.10%,9.88%,-16.59%,81.00%,20.05%,30.82%,9.70%,87.98%,587132,22.35%,11.80%,44099,1.29,5,19.41,3.43,463.70000,1565797,56.84,46.33,48.65,22.31
IBN,18873298854,,-5178289547,24051588401,,8.75%,-3.00%,,-9.55%,18.90%,,20.75%,2.00%,14.42%,150821,25.77%,1.44%,28278,0.11,2,,,30.80000,5902208,52.53,56.72,64.66,1.49
ETN,2080000000,-2.53%,-7741000000,9821000000,,3.28%,0.19%,2.56%,-7.34%,19.90%,15.37%,9.75%,9.80%,15.20%,263418,13.80%,7.24%,40172,0.64,6,3.86,4.73,270.72000,4494935,45.91,38.67,50.35,9.50
COP,6114000000,32.89%,-18210000000,24324000000,,6.86%,28.45%,10.31%,-17.29%,17.30%,13.06%,13.39%,9.00%,17.52%,4826525,11.18%,9.14%,783475,0.56,5,19.24,2.72,83.29000,13025141,34.88,34.35,36.40,7.81
ARM,2671000000,1.16%,2410000000,261000000,10.55%,,18.10%,,2.26%,13.80%,8.32%,,10.00%,,520575,8.43%,,113585,0.46,5,,32.54,100.46000,8591897,41.78,37.64,52.75,0.76
MDT,7922000000,-6.07%,-18685000000,26607000000,,1.89%,5.66%,0.79%,-17.70%,8.70%,7.62%,6.02%,4.70%,8.12%,349463,6.01%,4.54%,44842,0.37,6,2.03,2.79,82.54000,6313354,35.65,40.60,46.34,3.29
BMY,10859000000,-0.21%,-38790000000,49649000000,,3.68%,24.83%,1.22%,-38.61%,-53.40%,-12.20%,1.78%,-9.40%,-1.52%,1416422,-12.70%,0.94%,-262405,0.51,4,5.35,1.32,50.46000,20616280,25.62,40.42,43.36,-4.41
TD,75240126922,75.21%,-210400809482,285640936404,,57.63%,18.40%,72.64%,-210.87%,9.00%,,5.21%,0.50%,13.18%,388496,1.98%,0.74%,78627,0.03,2,,,56.64000,2933631,39.67,46.36,46.12,4.09
ELV,34681000000,15.04%,3449000000,31232000000,-69.34%,10.69%,24.33%,9.23%,3.49%,14.20%,11.92%,10.41%,5.20%,15.48%,1698762,9.47%,5.64%,57390,1.55,4,,3.15,436.37000,1600886,56.88,55.48,46.74,25.68
MELI,13900000000,8.32%,7050000000,6850000000,52.47%,19.82%,28.45%,46.43%,7.37%,49.60%,30.22%,9.41%,8.80%,27.44%,1136473,18.46%,,104529,0.96,5,41.95,4.30,1933.99000,383576,46.49,49.30,57.99,37.69
AMT,2108200000,-1.85%,-41845900000,43954100000,,-5.45%,-5.08%,7.19%,-43.40%,60.40%,7.45%,6.10%,3.50%,43.22%,2158857,8.21%,3.32%,480708,0.16,5,,1.33,208.32000,3564787,47.24,52.91,50.33,4.82
SO,1070000000,1.84%,-65207000000,66277000000,,6.11%,4.39%,6.36%,-66.88%,12.40%,6.28%,5.12%,3.10%,10.46%,934406,5.82%,2.64%,153881,0.19,5,4.44,1.00,88.89000,7047362,48.85,56.03,60.93,3.99
SBUX,3957200000,0.27%,-21914300000,25871500000,,2.90%,5.76%,4.63%,-22.81%,-44.90%,23.28%,18.82%,11.50%,-41.24%,100135,19.70%,11.14%,9743,1.18,5,6.57,2.72,84.60000,14534995,35.29,38.16,44.56,3.10
SAN,-174996415706,-1.93%,-660322093586,485325677880,,21.22%,48.61%,11.20%,-699.62%,12.50%,0.44%,3.05%,0.67%,5.76%,526704,1.70%,0.32%,64436,0.05,2,,0.29,6.23000,11454739,46.01,59.97,66.79,0.84
MO,3127000000,-0.91%,-21799000000,24926000000,,-3.85%,-4.98%,-2.33%,-23.09%,-325.60%,55.67%,33.95%,32.10%,-67.12%,3873871,40.86%,16.86%,1816774,0.69,7,8.41,4.84,56.38000,13144209,47.04,57.62,59.48,6.54
RIO,8914000000,,-5644000000,14558000000,,-18.51%,3.87%,,-6.32%,21.00%,17.97%,20.88%,11.20%,25.92%,965749,16.61%,13.06%,207916,0.52,4,7.42,2.91,54.87000,4345751,34.25,34.59,39.96,7.07
CME,101901000000,-0.55%,-422400000,102323400000,,-14.09%,9.30%,20.18%,-0.46%,12.70%,13.26%,1.76%,2.60%,10.30%,1630346,2.36%,1.86%,925931,0.05,6,,0.70,258.39000,2816310,50.43,68.20,67.13,9.67
ANET,8303473000,,8303473000,,65.81%,,,,9.04%,32.10%,28.86%,23.56%,23.30%,27.94%,1587295,25.73%,19.86%,646431,0.57,5,1.33,16.41,72.65000,12184041,40.39,35.72,49.99,2.23
CRWD,4323295000,-0.39%,3534394000,788901000,31.79%,0.61%,-0.50%,,3.95%,-0.70%,1.49%,-4.19%,-0.30%,-9.44%,390752,,-3.04%,-1905,0.52,3,,10.66,368.61000,4377585,52.16,52.38,60.91,-0.08
WM,414000000,43.52%,-23486000000,23900000000,,21.26%,47.27%,12.11%,-26.10%,35.70%,10.59%,10.75%,7.50%,29.42%,357585,10.03%,6.78%,44506,0.61,5,70.62,2.74,226.45000,1585771,49.68,57.03,61.93,6.81
WELL,3711457000,3.73%,-13046899000,16758356000,,4.52%,3.97%,1.72%,-14.19%,3.20%,,2.28%,2.00%,2.70%,11665866,3.18%,1.44%,1389314,0.17,5,,,141.81000,2692104,40.71,54.37,67.22,1.57
DUK,314000000,0.24%,-84916000000,85230000000,,7.78%,5.93%,6.33%,-93.60%,8.90%,5.09%,4.66%,2.40%,5.98%,1149320,5.18%,1.68%,166660,0.17,5,3.78,0.70,116.84000,4151582,47.05,55.89,59.72,5.71
ENB,1354841108,6.69%,-71336137866,72690978975,,10.36%,25.21%,9.37%,-78.32%,7.70%,6.21%,4.24%,2.50%,7.06%,2560967,4.41%,2.54%,242002,0.26,5,19.58,0.73,41.82000,5464074,39.43,48.02,55.72,1.63
KKR,15367953000,0.39%,-34279303000,49647256000,,8.77%,4.58%,12.94%,-37.09%,13.50%,,2.49%,0.90%,14.72%,4526003,1.21%,1.36%,636377,0.06,6,,,101.87000,11494021,41.03,36.23,49.14,3.28
APP,741411000,1.32%,-2814994000,3556405000,,2.44%,11.93%,24.36%,-3.06%,175.10%,39.37%,10.25%,28.90%,50.42%,3012955,40.42%,5.08%,1008995,0.86,7,,13.83,263.83000,10321805,45.84,48.27,66.98,4.53
PLD,1318591000,-4.37%,-29560672000,30879263000,,20.35%,6.48%,20.06%,-33.87%,7.00%,,4.69%,3.90%,6.96%,3034262,4.98%,4.02%,1378377,0.09,5,,,94.89000,17176647,32.76,31.83,40.54,4.01
ICE,2948000000,-3.79%,-17755000000,20703000000,,13.47%,-9.64%,20.65%,-20.05%,10.20%,9.00%,6.71%,2.00%,11.04%,889502,6.86%,1.62%,208289,0.09,6,,0.84,155.19000,4471428,30.99,44.89,57.33,4.78
CI,8215000000,-2.53%,-23757000000,31972000000,,-1.71%,3.37%,-3.09%,-27.21%,8.30%,6.50%,8.85%,2.20%,12.68%,3362190,8.99%,3.80%,46721,1.59,6,35.85,2.50,327.27000,2018296,56.45,57.59,53.57,12.12
ADI,2721454000,-0.20%,-4845360000,7566814000,,6.56%,8.25%,6.61%,-5.56%,4.40%,4.49%,6.30%,3.20%,7.82%,359140,4.18%,5.20%,60149,0.19,5,2.64,4.75,178.36000,8475472,40.24,36.90,42.77,3.14
UBS,242232000000,,-188222000000,430454000000,,-11.95%,50.91%,-13.90%,-217.08%,6.00%,,1.58%,0.30%,16.26%,489583,1.08%,0.84%,46092,0.03,4,,,27.53000,3993429,35.06,35.23,50.09,1.52
KLAC,3780405000,-11.29%,-2101982000,5882387000,,19.53%,-0.18%,11.59%,-2.44%,94.30%,36.99%,34.01%,21.00%,86.90%,712210,36.82%,21.20%,210661,0.71,6,1.44,6.71,656.76000,2674403,44.95,43.00,52.50,23.77
CVS,10993000000,0.26%,-71927000000,82920000000,,2.95%,4.45%,-1.41%,-81.87%,6.20%,5.42%,5.61%,1.80%,8.98%,1242697,4.01%,2.72%,15380,1.48,4,17.79,2.16,68.97000,11440571,58.72,61.72,50.88,3.66
INTC,22062000000,-0.45%,-27949000000,50011000000,,9.49%,1.51%,11.51%,-32.74%,-17.90%,-6.81%,4.83%,-9.50%,8.20%,487612,-7.82%,4.48%,-172231,0.27,3,3.07,1.07,19.88000,128154573,42.07,43.11,37.05,-4.38
BTI,7525536308,-7.99%,-40334802173,47860338481,,-8.04%,-14.35%,,-46.11%,6.20%,4.33%,1.29%,2.60%,2.68%,433330,2.89%,1.22%,51396,0.22,7,0.86,1.13,40.55000,14093561,51.01,59.52,59.50,1.70
SMFG,580127949578,,232760646908,347367302670,,25.83%,15.58%,,285.47%,6.40%,,-1.34%,0.30%,5.24%,210352,-1.34%,0.26%,46520,0.02,2,,,12.46000,3980804,31.32,37.16,52.48,0.87
MDLZ,1351000000,-10.05%,-17021000000,18372000000,,-2.74%,-7.89%,-0.49%,-20.25%,16.60%,12.79%,7.63%,6.30%,14.60%,404900,10.62%,5.80%,51233,0.50,8,5.96,2.68,65.98000,10701382,52.20,53.42,48.91,3.42
LRCX,5665379000,-0.03%,683095000,4982284000,4.41%,-0.08%,-0.03%,2.43%,0.81%,50.70%,33.75%,32.43%,22.50%,58.92%,942389,30.45%,23.02%,249626,0.85,7,1.93,8.56,66.43000,19866136,41.85,39.31,44.91,3.29
MCK,1131000000,35.16%,-8626000000,9757000000,,6.78%,28.25%,-4.05%,-10.15%,-115.00%,33.03%,22.32%,4.00%,-117.32%,6756529,44.69%,1.22%,55412,4.88,5,14.45,5.95,679.33000,988853,56.89,73.52,69.71,21.82
GEV,8205000000,,8205000000,,429.01%,,,,9.62%,16.70%,11.97%,,3.10%,,454883,3.07%,,20208,0.71,6,3.43,2.18,309.95000,4101064,48.84,49.96,0.00,5.58
RELX,154366630,0.72%,-8334500812,8488867442,,7.60%,-5.15%,6.82%,-9.20%,55.70%,26.58%,17.67%,12.90%,52.52%,323082,21.34%,10.90%,66233,0.63,8,10.68,,49.02000,1334871,50.14,54.31,65.85,1.29
AJG,14987300000,57.21%,1502100000,13485200000,,26.94%,62.14%,22.21%,1.78%,10.60%,6.43%,8.81%,2.40%,11.68%,206338,5.67%,2.82%,26120,0.19,6,,1.83,325.72000,1570169,47.32,58.41,66.28,6.50
BN,15051000000,-5.05%,-224500000000,239551000000,,9.95%,0.71%,10.18%,-320.97%,1.40%,,2.27%,0.10%,3.36%,430030,2.14%,,3205,0.17,6,6.84,,46.93000,5357306,39.58,38.22,50.75,0.31
SHW,210400000,-1.53%,-11702900000,11913300000,,1.20%,0.88%,2.70%,-14.42%,69.40%,22.99%,16.67%,11.30%,67.48%,361535,18.55%,9.96%,41969,0.98,6,5.16,4.36,329.91000,2366284,43.46,41.67,52.04,10.55
HCA,1933000000,0.01%,-42961000000,44894000000,,7.31%,8.19%,4.97%,-52.59%,-291.80%,21.85%,18.81%,9.90%,-483.02%,223427,18.79%,10.50%,18228,1.21,6,22.31,2.53,334.99000,2126352,51.49,52.17,54.29,22.00
CTAS,243428000,-5.44%,-2448414000,2691842000,,-3.85%,0.99%,-1.55%,-3.02%,41.30%,30.21%,20.26%,19.10%,34.08%,218139,25.45%,14.74%,38244,1.09,7,11.65,13.39,202.73000,2581188,53.23,52.43,64.06,4.32
UPS,6318000000,-2.25%,-19334000000,25652000000,,0.16%,-4.03%,-1.85%,-23.81%,34.30%,15.49%,20.01%,8.40%,58.40%,185857,15.53%,11.22%,11800,1.32,6,,3.07,96.56000,6104368,32.30,26.67,30.07,6.75
NKE,10393000000,-1.28%,-1518000000,11911000000,,-2.00%,-1.57%,12.34%,-1.89%,32.00%,19.40%,19.38%,11.90%,38.96%,602242,16.19%,13.82%,56776,1.26,5,3.52,4.16,54.40000,51804594,31.54,28.18,30.94,3.01
AON,1304000000,-0.57%,-16397000000,17701000000,,20.31%,49.50%,16.40%,-20.36%,58.70%,16.11%,20.03%,5.60%,264.02%,313960,12.58%,6.20%,53080,0.33,5,,1.68,369.02000,1416353,33.88,45.96,55.09,12.49
ORLY,130245000,2.78%,-7790605000,7920850000,,10.53%,1.02%,6.21%,-9.91%,-165.00%,49.43%,38.06%,16.40%,50309.72%,179570,38.90%,16.98%,25650,1.15,5,1.67,4.29,1373.36000,694696,51.79,64.44,70.53,40.66
MU,8215000000,4.04%,-6739000000,14954000000,,25.25%,4.46%,20.15%,-8.71%,10.10%,10.20%,4.84%,6.70%,5.70%,652563,7.41%,4.32%,97333,0.45,7,2.34,3.75,70.05000,44599775,37.29,36.59,41.76,4.18
APH,3335400000,25.56%,-3550700000,6886100000,,12.78%,58.76%,13.81%,-4.54%,26.30%,18.50%,15.54%,12.70%,26.34%,121782,15.32%,11.78%,19392,0.80,7,4.28,6.03,64.13000,13077242,48.33,46.03,59.64,1.92
TRI,2003000000,-1.89%,-1162000000,3165000000,,-8.96%,-21.29%,-3.02%,-1.55%,19.00%,14.71%,11.00%,11.90%,20.68%,288016,14.72%,12.46%,87698,0.39,7,,8.52,167.27000,692402,45.20,49.51,59.81,4.89
MCO,2974000000,-2.23%,-4772000000,7746000000,,-0.96%,4.46%,4.71%,-6.30%,55.50%,24.65%,18.76%,13.40%,82.20%,447531,19.39%,13.12%,129941,0.46,7,,6.52,423.03000,1330390,40.36,40.61,51.62,11.26
BAM,404000000,,-75000000,479000000,,1.28%,292.62%,,-0.10%,24.80%,,16.67%,15.40%,,1592000,20.55%,,867200,0.28,5,,,46.08000,3045581,42.18,40.63,54.40,1.28
TT,1590100000,-9.47%,-3180200000,4770300000,,-0.50%,-0.20%,-3.06%,-4.17%,35.60%,24.39%,16.91%,12.70%,26.56%,440849,22.87%,9.22%,57064,0.99,7,6.19,5.92,338.33000,1712170,48.92,43.03,59.87,11.24
RACE,3841110733,9.89%,16881901,3824228832,-89.50%,8.58%,37.06%,10.16%,0.02%,46.00%,,19.13%,16.90%,41.82%,1279644,21.99%,13.64%,291681,0.74,6,3.27,,423.81000,616383,45.98,44.55,57.51,8.81
RSG,74000000,1.21%,-12639000000,12713000000,,9.99%,-0.83%,7.91%,-16.76%,18.40%,10.50%,9.44%,6.40%,15.50%,391024,11.22%,5.42%,49829,0.50,8,,3.31,240.23000,1684685,55.06,69.13,73.25,6.49
EQIX,3608000000,-1.18%,-15353000000,18961000000,,8.14%,8.63%,7.37%,-20.44%,6.30%,4.52%,3.48%,2.40%,5.82%,642952,3.37%,2.20%,59900,0.26,5,,2.33,770.74000,696109,37.78,31.19,45.58,8.50
DASH,5531000000,0.75%,4995000000,536000000,36.44%,10.34%,2.68%,23.84%,6.71%,1.70%,1.93%,-8.17%,1.00%,-12.74%,555544,-0.35%,-7.70%,6373,0.89,7,,9.45,178.52000,4375508,46.96,52.47,63.47,0.29
CL,1096000000,-5.77%,-6853000000,7949000000,,3.14%,-7.02%,0.26%,-9.28%,1155.60%,39.74%,32.20%,17.50%,901.68%,591206,39.80%,14.86%,84971,1.22,7,4.05,7.20,91.80000,6464802,51.10,49.43,53.69,3.51
NOC,4353000000,-0.12%,-12137000000,16490000000,,4.70%,5.18%,3.21%,-16.25%,28.50%,16.00%,10.60%,8.60%,33.94%,423021,11.44%,9.70%,43031,0.85,5,25.48,2.96,516.09000,1071532,60.88,57.91,57.59,28.34
FTNT,4066500000,0.05%,3072200000,994300000,112.15%,0.20%,0.20%,,4.21%,273.50%,35.93%,98.97%,20.30%,-1600.52%,421262,62.34%,15.16%,123440,0.69,6,2.89,6.81,96.32000,6798591,49.11,52.53,64.42,2.26
PBR,1266665546,,-8873215757,10139881303,,,-20.16%,,-26.05%,10.90%,-310.85%,18.86%,3.80%,25.96%,1858615,15.31%,9.56%,153055,0.46,4,7.34,4.71,11.30000,50022158,29.00,35.79,41.53,1.16
PBR.A,2629789394,,-7959739491,10589528884,,,-28.15%,,-12.06%,33.60%,231.94%,17.51%,12.30%,26.58%,2082119,19.00%,9.70%,505927,0.51,4,6.10,5.54,10.60000,9605390,31.31,36.17,41.91,1.16
BBVA,188682184094,-0.76%,106179181010,82503003084,-1.89%,,,,146.91%,15.65%,,,,,293149,,,77681,,2,,,12.54000,3999026,40.59,56.48,64.35,1.83
GD,1697000000,-5.45%,-7065000000,8762000000,,-8.65%,-5.39%,-5.99%,-9.75%,17.10%,12.78%,12.18%,6.80%,18.98%,407829,12.96%,6.44%,32325,0.85,6,4.41,3.61,271.82000,1836773,56.98,51.69,54.71,13.63
TDG,2459000000,0.68%,-22590000000,25049000000,,8.13%,14.50%,6.38%,-31.03%,-36.30%,19.28%,11.46%,7.30%,-28.40%,491386,15.40%,4.68%,99036,0.36,6,1.81,2.29,1298.20000,359095,45.58,49.40,62.42,28.36
PH,395507000,-11.26%,-8645734000,9041241000,,2.27%,-23.31%,-1.49%,-12.10%,25.40%,19.76%,11.47%,10.80%,20.96%,317356,14.16%,7.40%,50351,0.68,8,4.31,5.07,560.18000,1028813,42.40,39.66,53.74,24.17
MMM,7728000000,-1.36%,-5884000000,13612000000,,-9.26%,-18.45%,-8.45%,-8.28%,96.70%,17.39%,4.55%,9.30%,27.92%,399593,23.16%,6.36%,67854,0.55,7,3.78,3.65,132.97000,4756846,39.31,46.64,52.53,7.55
MSTR,39897000,69.75%,-7208181000,7248078000,,48.09%,223.04%,133.95%,-10.08%,-17.10%,-7.35%,-19.47%,-9.80%,-1289.34%,302123,-7.27%,-13.98%,-760535,0.04,1,,5.29,272.34000,19009798,46.07,47.20,59.96,-6.06
ABNB,10611000000,0.05%,8616000000,1995000000,6.63%,-6.21%,0.20%,36.60%,12.26%,32.30%,30.85%,2.49%,11.30%,-5.70%,1520822,19.50%,-0.16%,362740,0.47,6,,4.53,113.91000,6926613,41.64,40.97,42.96,4.11
APO,17112000000,7.96%,6524000000,10588000000,-32.03%,-8.20%,30.85%,23.33%,9.17%,27.50%,,5.44%,1.30%,23.78%,10281102,21.45%,1.82%,1763780,0.07,3,,,123.93000,10677901,42.74,40.50,53.03,7.33
BP,39592000000,4.47%,-31955000000,71547000000,,0.83%,13.43%,-1.57%,-46.39%,0.60%,5.28%,0.78%,0.10%,0.12%,2138780,0.55%,-0.04%,4187,0.71,5,6.18,,26.23000,14054349,25.91,34.27,36.31,0.14
CDNS,2644030000,-12.35%,167847000,2476183000,-53.26%,92.42%,281.51%,48.23%,0.24%,24.70%,19.35%,21.68%,13.60%,28.36%,365454,14.29%,16.50%,83109,0.60,5,2.95,12.07,254.02000,2603390,49.54,43.36,49.83,3.85
MSI,2102000000,-0.25%,-4322000000,6424000000,,2.27%,-0.02%,2.69%,-6.24%,144.90%,23.00%,23.97%,11.40%,-102.88%,515095,26.52%,11.28%,75095,0.78,7,6.66,4.80,414.87000,1061376,44.01,42.88,58.72,9.23
CMG,1452757000,1.28%,-3087861000,4540618000,,8.85%,12.07%,9.75%,-4.53%,42.80%,25.02%,13.37%,17.30%,35.18%,8669619,17.84%,12.66%,1175563,1.27,4,188.01,9.64,50.27000,12420007,49.90,41.06,50.64,1.11
CP,528302049,3.24%,-15644603563,16172905611,,3.97%,0.57%,20.90%,-23.53%,8.30%,6.99%,7.31%,4.40%,15.98%,510248,5.72%,6.52%,130421,0.17,7,11.44,2.09,71.21000,6462966,47.01,37.75,44.51,2.76
WMB,327000000,-0.73%,-26584000000,26911000000,,4.36%,1.79%,3.84%,-39.46%,17.90%,8.59%,6.47%,4.20%,15.48%,1801853,6.59%,3.72%,381197,0.20,6,15.54,1.09,55.07000,10283517,41.47,51.03,66.54,1.82
INFY,3321000000,,2319000000,1002000000,,,63.73%,,3.31%,32.10%,37.06%,24.22%,19.90%,29.12%,58511,24.18%,19.40%,9983,1.17,5,,10.61,16.98000,25884796,36.30,28.09,42.13,0.76
ITW,948000000,-5.79%,-6915000000,7863000000,,0.76%,-3.69%,0.27%,-10.48%,110.00%,43.73%,26.08%,22.50%,91.50%,353289,30.09%,18.44%,77511,1.02,6,5.35,8.26,226.81000,1805303,36.70,33.80,43.88,11.71
SE,14327962000,-6.65%,10217329000,4110633000,113.49%,-1.13%,-7.58%,20.96%,15.24%,6.00%,7.10%,-9.63%,2.10%,-33.62%,268259,3.08%,-8.46%,7086,0.81,7,71.58,3.50,115.28000,4722258,43.35,51.70,58.69,0.74
ECL,1256800000,-0.35%,-6883600000,8140400000,,-3.44%,-5.42%,3.97%,-10.48%,25.00%,16.11%,9.94%,9.70%,11.38%,327946,13.73%,4.20%,44008,0.72,7,6.01,4.81,232.55000,1213830,33.57,38.68,52.67,7.37
GSK,5036788882,5.77%,-16951105220,21987894102,,-11.10%,-5.73%,-11.05%,-25.16%,18.40%,8.83%,14.81%,4.40%,48.36%,571479,10.89%,9.06%,46901,0.54,6,1.62,1.48,33.60000,8185890,29.32,37.24,42.00,1.56
ZTS,1987000000,-0.16%,-4757000000,6744000000,,0.00%,-0.16%,0.40%,-7.25%,49.70%,30.93%,19.82%,17.40%,48.16%,670725,23.22%,15.30%,180145,0.65,7,1.12,6.98,147.00000,3509575,35.70,32.11,40.64,5.47
SCCO,3503400000,0.22%,-3494300000,6997700000,,-2.13%,-0.46%,-2.61%,-5.35%,39.60%,34.79%,18.60%,18.80%,33.96%,708696,21.67%,15.40%,209310,0.64,7,2.23,6.52,81.84000,2080968,37.55,37.05,45.66,4.34
BMO,57008366333,14.27%,-101946238579,158954604912,,5.19%,13.03%,3.65%,-157.21%,9.80%,,3.34%,0.60%,11.70%,511135,2.64%,0.70%,121314,0.02,2,,,88.98000,1012559,37.74,40.64,48.46,7.37
CEG,3958000000,,-4454000000,8412000000,,0.87%,-9.17%,,-6.86%,30.80%,10.94%,8.80%,7.20%,9.32%,1652271,16.68%,2.22%,262830,0.45,3,11.72,1.97,204.49000,4021044,45.92,43.35,54.83,11.89
NGG,5517345040,,-55476658184,60994003224,,26.92%,52.86%,,-86.36%,7.70%,5.40%,4.60%,2.40%,12.34%,809824,4.27%,3.54%,93426,0.21,5,22.09,1.24,65.59000,1089000,55.34,58.91,51.96,3.96
SNPS,3809369000,-2.84%,3144332000,665037000,421.04%,4.63%,-0.73%,-4.98%,5.08%,25.50%,20.41%,14.05%,17.30%,19.60%,303588,12.18%,12.10%,105498,0.50,5,3.10,12.32,406.89000,1537456,41.03,34.16,42.71,13.52
EPD,1372000000,-0.03%,-30524000000,31896000000,,2.60%,10.95%,2.92%,-48.68%,20.90%,11.80%,10.59%,7.90%,19.20%,7207564,11.31%,7.36%,756026,0.76,6,13.42,,28.95000,7398744,23.67,35.06,49.97,2.69
COF,43230000000,-7.67%,-2321000000,45551000000,,1.87%,-8.63%,-3.94%,-3.71%,7.40%,,6.17%,0.90%,10.42%,520837,4.46%,1.38%,84506,0.06,4,,,162.16000,5776416,43.75,42.53,54.14,11.59
NTES,19231282111,10.98%,17558844077,1672438034,16.94%,-17.38%,-37.80%,-6.70%,29.02%,22.50%,-21.02%,13.51%,15.60%,20.42%,495194,16.56%,12.86%,139665,0.56,6,62.34,,94.30000,1581681,39.89,47.82,50.17,6.29
MAR,396000000,5.39%,-14845000000,15241000000,,10.70%,19.44%,5.21%,-24.18%,-104.20%,21.94%,17.69%,9.10%,-169.20%,60048,23.18%,6.82%,5682,0.97,6,,3.35,222.92000,3602872,39.24,34.25,48.34,8.33
EQNR,27322000000,,-2772000000,30094000000,,42.01%,-21.04%,58.59%,-4.53%,19.40%,33.86%,13.39%,6.40%,22.64%,4211436,12.14%,6.98%,357372,0.76,6,17.03,,22.56000,3835701,38.55,41.70,40.91,3.11
AZO,300905000,0.82%,-12064834000,12365739000,,12.21%,4.54%,8.61%,-19.95%,-55.70%,42.32%,38.18%,14.90%,-90.44%,148195,37.74%,15.38%,20689,1.07,6,1.39,2.80,3615.24000,173061,49.69,61.51,68.67,148.94
PNC,46251000000,-9.40%,-15422000000,61673000000,,26.06%,-15.21%,0.46%,-25.69%,10.30%,,5.93%,1.00%,11.32%,390602,5.68%,1.10%,100192,0.04,4,,,152.16000,4218675,32.56,28.53,44.87,13.74
PYPL,17786000000,-0.97%,7907000000,9879000000,-23.82%,7.07%,2.10%,14.75%,13.06%,20.30%,16.03%,11.90%,5.00%,19.30%,1303156,13.68%,5.16%,169959,0.38,6,,1.85,60.56000,14312145,38.03,32.53,39.74,3.99
CNI,286474203,1.44%,-14885228147,15171702350,,18.36%,13.14%,8.42%,-24.77%,22.30%,13.09%,12.69%,8.10%,23.04%,493826,11.23%,9.52%,128859,0.31,5,14.21,2.50,95.81000,1634461,45.12,32.36,37.81,4.87
WDAY,8017000000,-0.03%,4655000000,3362000000,3.06%,16.93%,2.00%,16.45%,7.79%,6.20%,5.13%,-0.24%,3.20%,2.16%,414020,2.76%,1.34%,25784,0.51,5,,4.84,224.74000,2599363,38.58,37.35,46.08,1.95
DEO,1485000000,,-21304000000,22789000000,,35.27%,29.73%,,-36.20%,38.90%,14.50%,12.17%,8.60%,38.98%,852617,13.70%,8.48%,128606,0.45,7,1.04,2.37,107.04000,1840251,50.08,39.20,33.48,6.91
ROP,188200000,-9.00%,-7434800000,7623000000,,-1.27%,20.42%,7.64%,-12.69%,8.50%,8.10%,5.57%,5.10%,13.66%,386769,5.94%,7.44%,85126,0.23,5,18.05,3.91,549.60000,935941,42.22,47.19,53.49,14.35
MFG,513184249886,,96855800523,416328449362,,14.24%,68.60%,,172.11%,9.70%,,0.56%,0.40%,3.32%,395130,1.58%,,92412,0.02,2,,,4.54000,7456956,33.65,42.11,55.30,0.48
REGN,9012500000,0.01%,6308100000,2704400000,-22.52%,0.06%,0.06%,30.52%,10.64%,15.50%,14.30%,20.32%,12.10%,27.30%,940156,11.49%,19.84%,292109,0.39,4,0.70,6.67,546.39000,1347126,27.11,22.25,34.84,38.34
